teamId,name,leagueId,sportId,leagueTypeId,players,region,d1Start,d1End,d2Start,d2End,d3Start,d3End,d4Start,d4End,d5Start,d5End,d6Start,d6End,d7Start,d7End
1,Team 1,1,4,1,20,West,17,21,17,21,17,21,17,21,17,21,17,21,17,21
2,Team 2,1,4,1,20,West,17,21,17,21,17,21,17,21,17,21,17,21,17,21
3,Team 3,1,4,1,20,West,17,21,17,21,17,21,17,21,17,21,17,21,17,21
4,Team 4,1,4,1,20,West,17,21,17,21,17,21,17,21,17,21,17,21,17,21
5,Team 5,1,4,1,20,West,17,21,17,21,17,21,17,21,17,21,17,21,17,21
6,Team 6,1,4,1,20,West,17,21,17,21,17,21,17,21,17,21,17,21,17,21
7,Team 7,1,4,1,20,West,17,21,17,21,17,21,17,21,17,21,17,21,17,21
8,Team 8,1,4,1,20,West,17,21,17,21,17,21,17,21,17,21,17,21,17,21
9,Team 9,2,4,2,20,West,17,21,17,21,17,21,17,21,17,21,17,21,17,21
10,Team 10,2,4,2,20,West,17,21,17,21,17,21,17,21,17,21,17,21,17,21
11,Team 11,2,4,2,20,West,17,21,17,21,17,21,17,21,17,21,17,21,17,21
12,Team 12,2,4,2,20,West,17,21,17,21,17,21,17,21,17,21,17,21,17,21
13,Team 13,2,4,2,20,West,17,21,17,21,17,21,17,21,17,21,17,21,17,21
14,Team 14,2,4,2,20,West,17,21,17,21,17,21,17,21,17,21,17,21,17,21
15,Team 15,2,4,2,20,West,17,21,17,21,17,21,17,21,17,21,17,21,17,21
16,Team 16,2,4,2,20,West,17,21,17,21,17,21,17,21,17,21,17,21,17,21
17,Team 17,3,4,3,20,West,17,21,17,21,17,21,17,21,17,21,17,21,17,21
18,Team 18,3,4,3,20,West,17,21,17,21,17,21,17,21,17,21,17,21,17,21
19,Team 19,3,4,3,20,West,17,21,17,21,17,21,17,21,17,21,17,21,17,21
20,Team 20,3,4,3,20,West,17,21,17,21,17,21,17,21,17,21,17,21,17,21
21,Team 21,3,4,3,20,West,17,21,17,21,17,21,17,21,17,21,17,21,17,21
22,Team 22,3,4,3,20,West,17,21,17,21,17,21,17,21,17,21,17,21,17,21
23,Team 23,3,4,3,20,West,17,21,17,21,17,21,17,21,17,21,17,21,17,21
24,Team 24,3,4,3,20,West,17,21,17,21,17,21,17,21,17,21,17,21,17,21
