venueId,region,name,field,d1Start,d1End,d2Start,d2End,d3Start,d3End,d4Start,d4End,d5Start,d5End,d6Start,d6End,d7Start,d7End,seasonStart,seasonEnd,seasonYear
1,West,Lake Dawn Hub,1,7.5,16.0,12.0,19.0,0.5,2.5,3.5,10.5,0.0,0.5,16.5,19.5,5.5,10.0,23,52,2024
2,West,Wesleybury Place,1,1.0,13.5,11.0,19.5,5.5,18.0,4.0,10.0,2.5,21.5,1.0,13.5,12.5,16.5,22,51,2024
3,West,Wesleybury Place,2,1.0,13.5,11.0,19.5,5.5,18.0,4.0,10.0,2.5,21.5,1.0,13.5,12.5,16.5,22,51,2024
4,West,Lake Jennifermouth Dome,1,3.5,3.5,2.0,15.5,6.5,16.5,12.5,16.5,4.5,19.0,2.5,23.0,8.0,10.5,1,30,2024
5,West,Lake Jennifermouth Dome,2,3.5,3.5,2.0,15.5,6.5,16.5,12.5,16.5,4.5,19.0,2.5,23.0,8.0,10.5,1,30,2024
6,West,North Christine Complex,1,15.5,20.0,4.0,5.5,16.0,20.0,4.5,18.5,12.5,19.0,19.0,19.5,0.5,8.5,15,44,2024
7,West,North Christine Complex,2,15.5,20.0,4.0,5.5,16.0,20.0,4.5,18.5,12.5,19.0,19.0,19.5,0.5,8.5,15,44,2024
8,West,North Christine Complex,3,15.5,20.0,4.0,5.5,16.0,20.0,4.5,18.5,12.5,19.0,19.0,19.5,0.5,8.5,15,44,2024
9,West,West Anthonyhaven Facility,1,5.5,23.5,7.5,14.5,3.5,6.0,5.5,20.5,18.5,19.0,4.0,21.0,13.0,18.0,12,41,2024
10,West,Heatherstad Plaza,1,7.0,16.0,4.0,10.5,5.0,18.5,12.5,14.0,7.0,23.0,5.0,11.5,5.0,8.0,23,52,2024
11,West,New Brian Oasis,1,13.0,18.0,14.5,17.5,3.5,9.0,8.0,17.5,13.0,15.5,18.5,18.5,0.0,16.0,23,52,2024
12,West,New Brian Oasis,2,13.0,18.0,14.5,17.5,3.5,9.0,8.0,17.5,13.0,15.5,18.5,18.5,0.0,16.0,23,52,2024
13,West,New Brian Oasis,3,13.0,18.0,14.5,17.5,3.5,9.0,8.0,17.5,13.0,15.5,18.5,18.5,0.0,16.0,23,52,2024
14,West,West Cliffordborough Complex,1,12.5,20.5,0.0,22.5,5.5,22.0,17.5,21.5,18.5,21.0,9.5,16.0,5.0,15.0,1,30,2024
