teamId,name,leagueId,sportId,leagueTypeId,players,region,d1Start,d1End,d2Start,d2End,d3Start,d3End,d4Start,d4End,d5Start,d5End,d6Start,d6End,d7Start,d7End
1,Lake Wendy Robbers,7,1,3,6,Central,2.0,2.5,4.0,19.5,17.0,18.0,15.0,16.5,0.5,13.0,13.5,20.5,4.0,7.5
2,Carterborough Robbers,7,1,3,5,East,21.0,23.0,8.5,21.5,0.5,23.0,10.5,11.5,6.5,18.0,11.0,17.5,0.5,8.5
3,Websterland Bulls,7,1,3,8,East,1.0,4.0,7.0,16.5,7.5,22.0,22.5,22.5,2.0,5.5,7.5,14.5,7.0,11.0
4,East Kathrynside Warriors,7,1,3,7,East,5.0,6.0,1.5,21.5,2.0,10.0,0.0,17.5,6.0,19.0,6.0,9.0,1.5,23.0
5,Port Cassandraport Bobcats,7,1,3,7,Central,4.0,23.5,18.0,21.0,9.5,20.0,8.0,21.5,5.5,8.0,4.5,15.5,10.5,13.5
6,New Roymouth Bears,7,1,3,5,South,11.0,13.0,12.0,15.0,13.0,15.0,21.0,23.5,3.0,11.5,11.5,16.0,1.0,20.0
7,Brianton Raptors,7,1,3,9,South,6.0,11.5,1.5,17.0,5.5,22.0,1.0,5.5,6.5,13.5,11.0,12.5,9.0,21.5
8,North Tiffanychester Pirates,7,1,3,5,Central,20.0,22.0,6.5,20.5,15.0,16.5,6.0,7.0,15.5,20.0,15.5,19.0,13.0,19.5
9,West Patricia Celtics,7,1,3,5,West,8.0,13.5,7.0,9.5,12.0,17.0,5.5,15.5,11.5,22.5,9.0,16.5,21.0,21.5
10,Martinhaven Commandos,7,1,3,5,East,12.0,16.5,15.5,23.5,1.0,17.0,4.5,15.0,9.5,17.5,5.0,8.5,3.5,13.5
11,South Paul Bears,7,1,3,5,West,1.5,4.0,1.0,6.5,9.5,9.5,7.5,17.5,6.0,12.0,2.0,14.5,7.0,8.5
12,West Jeffreyfurt Vikings,7,1,3,6,West,8.0,12.5,1.5,2.0,14.5,23.5,0.5,5.5,12.0,17.5,17.5,21.0,8.0,11.0
13,East Jose Eagles,7,1,3,7,South,10.0,23.5,6.0,23.0,12.0,21.5,12.5,20.5,1.0,15.0,4.5,22.5,10.0,13.0
14,North Rebeccaport Robbers,7,1,3,8,West,6.0,6.5,18.0,19.5,13.5,16.0,10.0,10.5,12.0,16.0,2.5,20.5,6.0,9.5
15,New Scott Mavericks,7,1,3,6,West,3.0,12.0,2.0,15.5,20.5,21.5,9.5,22.0,3.0,9.0,1.0,2.0,8.5,15.0
16,Joshuaside Celtics,7,1,3,6,West,15.5,20.0,9.5,12.5,18.0,18.5,0.5,11.0,0.0,6.0,11.5,22.5,10.0,17.5
17,New Ryantown Robbers,6,1,2,5,West,6.5,12.5,1.0,21.5,13.5,21.0,7.5,20.5,2.0,4.5,9.5,19.5,5.0,20.5
18,Richardville Wolves,6,1,2,5,Central,13.5,21.5,1.5,17.0,18.5,19.0,0.0,13.0,3.0,18.5,10.5,17.5,6.0,23.0
19,Tylerland Celtics,6,1,2,5,West,7.5,11.0,12.0,17.0,1.5,1.5,0.0,17.0,5.0,11.5,2.5,23.0,2.5,3.5
20,Lisahaven Chiefs,6,1,2,5,North,11.0,23.5,1.0,11.5,19.5,19.5,6.5,14.5,9.0,18.0,5.0,13.5,13.5,22.0
21,Port Marktown Commandos,6,1,2,5,West,6.0,15.5,6.0,20.0,10.0,17.0,4.0,23.5,17.0,19.0,1.0,9.5,11.0,18.0
22,South Anthony Eagles,6,1,2,5,Central,0.5,16.5,3.5,11.0,1.5,21.5,13.0,22.0,5.0,21.5,9.0,20.0,7.5,20.0
23,Lake Kevin Bears,6,1,2,5,East,4.0,8.0,19.5,20.0,2.0,4.0,6.5,11.0,1.5,20.5,3.0,6.0,11.0,19.0
24,Jerrytown Sox,6,1,2,8,North,11.0,13.0,2.0,8.5,1.5,23.5,2.0,21.0,10.0,10.0,13.0,13.5,6.5,17.5
25,Port Rhondaside Mavericks,6,1,2,5,South,0.5,6.0,4.5,15.5,5.0,10.5,17.5,19.5,7.0,18.5,0.5,17.0,1.0,22.0
26,New Patrickburgh Sox,6,1,2,7,North,1.5,9.5,6.0,23.0,2.5,16.5,7.0,19.0,12.0,21.0,7.0,14.5,0.5,13.5
27,Richardmouth Hornets,6,1,2,9,West,1.5,16.5,16.0,16.0,6.5,8.5,4.5,6.0,2.5,7.5,6.5,17.0,18.0,22.5
28,Tracyfort Sabres,6,1,2,7,South,7.0,13.5,12.0,19.0,19.0,20.5,3.5,23.5,11.0,11.5,10.0,12.5,11.5,18.5
29,Port Cheryl Bucaneers,6,1,2,8,West,13.0,14.0,12.5,21.5,3.5,8.5,10.0,23.0,9.5,21.5,5.5,9.0,17.0,22.5
30,New Nicole Vikings,6,1,2,5,South,4.5,21.0,5.5,19.5,15.0,18.5,9.0,22.0,8.0,23.0,3.0,23.0,1.0,3.5
31,New Matthew Wildcats,6,1,2,5,East,2.5,3.5,3.5,22.5,9.5,9.5,0.0,16.5,2.5,19.0,1.0,2.5,7.0,21.5
32,Hubbardton Hornets,6,1,2,5,West,3.5,13.0,2.5,14.0,15.5,20.0,18.0,23.5,4.5,16.0,14.0,17.0,7.5,23.0
33,New Jose Mavericks,5,1,1,40,West,10.5,10.5,7.0,9.5,5.5,11.0,6.0,8.0,8.0,18.0,12.5,13.0,6.0,22.5
34,South Janetfort Hornets,5,1,1,31,East,3.0,10.0,3.0,22.0,3.0,10.0,1.0,12.5,10.5,17.0,19.0,19.5,8.0,15.0
35,Scottstad Celtics,5,1,1,38,East,0.0,5.0,2.5,8.5,2.5,23.5,13.5,18.5,16.5,20.0,7.0,10.5,5.0,16.0
36,Port Melissa Wildcats,5,1,1,47,North,1.5,8.0,8.0,19.0,22.0,22.5,16.5,19.0,0.5,6.0,0.5,1.5,7.0,13.0
37,Port Nicole Commandos,5,1,1,82,South,10.5,11.0,14.0,22.5,7.5,17.0,17.0,17.5,3.0,8.0,1.5,20.5,2.0,8.5
38,Tonihaven Bears,5,1,1,25,South,4.0,23.0,1.5,18.0,8.5,13.5,9.0,14.5,9.5,9.5,17.5,21.0,2.5,5.0
39,Lake Lesliechester Bucaneers,5,1,1,63,Central,1.5,23.5,9.0,19.5,9.0,17.5,1.5,8.0,11.0,16.5,2.5,14.0,4.5,11.5
40,Cowanberg Sox,5,1,1,24,East,11.0,19.0,22.0,22.5,3.0,10.5,16.5,18.0,9.0,13.5,13.0,15.5,1.0,3.5
41,Port Kellitown Wolves,5,1,1,23,East,4.5,13.0,19.0,23.5,7.5,10.5,17.0,19.0,1.5,4.0,0.0,20.5,19.0,19.0
42,Jamesburgh Robbers,5,1,1,56,South,8.5,19.0,0.0,18.5,8.5,11.0,0.5,10.5,0.0,13.5,20.5,21.5,2.5,9.5
43,East Amberview Americans,5,1,1,24,Central,5.0,9.0,4.5,21.5,4.5,19.5,17.0,17.5,8.5,12.5,2.5,20.0,8.5,11.0
44,New Christine Grizzlies,5,1,1,37,South,8.0,17.0,0.5,11.0,11.5,16.0,3.5,6.0,13.5,19.5,5.5,9.0,0.5,19.0
45,Davidhaven Bulls,5,1,1,26,Central,19.0,20.5,9.0,18.0,2.0,6.0,12.0,13.5,13.0,14.5,5.0,11.0,8.0,9.0
46,Guerramouth Bears,5,1,1,37,North,1.0,4.0,1.5,15.0,16.5,19.5,18.0,21.5,4.0,9.0,7.0,15.0,5.0,22.0
47,Thompsonhaven Chargers,5,1,1,38,South,9.5,13.5,16.0,18.0,1.5,8.0,3.5,16.5,13.0,20.0,3.0,23.0,1.0,10.5
48,North Kathy Vikings,5,1,1,26,North,10.5,20.5,5.5,8.0,4.5,21.0,6.0,17.5,1.5,10.0,8.0,20.5,9.0,13.5
49,Solomonberg Hornets,5,1,1,5,Central,1.0,4.5,1.5,2.0,2.5,9.5,12.5,20.0,5.0,19.0,4.5,15.5,21.5,23.0
50,Olsonland Vikings,5,1,1,73,East,9.0,13.0,5.0,22.0,19.5,21.0,7.5,18.5,5.5,6.0,1.0,6.5,12.0,13.5
51,Amymouth Commandos,5,1,1,43,West,8.0,17.5,2.0,10.5,20.0,22.5,4.0,4.5,2.0,3.0,11.5,19.5,4.5,13.5
52,Port Jennifer Bears,5,1,1,13,South,7.0,18.5,5.5,10.0,0.5,11.5,5.5,6.0,18.5,19.5,6.5,19.0,14.0,21.0
53,Port Reginahaven Americans,5,1,1,12,North,6.0,13.0,6.5,7.5,10.5,19.0,12.0,22.5,14.0,21.0,16.0,21.0,8.5,18.0
54,Lake Johnton Sox,5,1,1,23,Central,3.0,12.0,11.5,23.5,16.0,18.5,18.0,23.0,11.5,16.5,1.5,13.5,4.5,13.5
55,Ellisberg Pirates,5,1,1,62,North,12.5,15.5,3.0,12.0,14.5,21.0,7.5,17.0,14.5,18.0,13.0,22.5,4.0,13.5
56,Olsonside Celtics,5,1,1,74,West,4.0,14.0,2.5,5.5,0.0,17.5,8.0,16.0,4.5,8.0,2.0,23.5,9.0,18.0
57,Bowenside Hawks,5,1,1,45,Central,9.0,19.0,1.5,12.5,2.5,17.5,5.5,8.5,16.5,20.0,11.5,12.5,14.0,16.5
58,Markshire Jacks,5,1,1,65,Central,1.0,6.0,8.0,10.5,9.5,9.5,13.5,22.0,10.5,15.0,12.0,18.0,7.5,12.0
59,West Catherinechester Pirates,5,1,1,17,South,4.0,12.5,1.0,4.0,4.5,19.5,5.0,15.0,4.5,15.5,3.0,19.5,5.0,17.0
60,Lisafurt Westerners,5,1,1,48,Central,0.0,17.5,17.5,18.5,2.0,13.0,4.5,6.0,2.0,4.5,8.5,17.0,11.5,21.5
61,Edwinmouth Bobcats,5,1,1,27,Central,4.0,5.5,4.0,21.5,6.0,11.5,2.0,3.0,0.5,6.0,5.5,10.0,3.5,20.0
62,Bowenville Bobcats,5,1,1,53,South,1.5,19.0,14.5,22.5,5.5,21.0,5.0,7.5,14.5,23.5,16.0,17.0,0.0,13.0
63,Hesterburgh Warriors,5,1,1,37,North,11.5,19.5,19.0,23.5,5.0,17.5,0.0,17.0,13.0,17.5,9.5,19.5,16.5,22.5
64,Port John Hawks,5,1,1,11,Central,8.0,9.0,7.0,20.0,23.0,23.5,3.0,8.0,1.5,12.5,9.5,22.5,2.0,13.0
65,Carlchester Grizzlies,5,1,1,63,South,20.5,21.0,5.0,10.5,5.0,23.5,6.5,12.5,2.0,21.0,8.0,12.5,14.0,17.0
66,Jamesburgh Grizzlies,5,1,1,17,West,4.0,4.0,2.5,21.0,0.5,2.0,9.0,18.0,16.0,23.0,11.5,12.5,0.5,21.0
67,East Daniel Commandos,5,1,1,59,Central,11.5,12.5,15.5,23.0,5.0,23.5,0.0,12.5,14.5,18.5,5.5,23.5,9.5,18.5
68,Kennedyberg Hornets,5,1,1,53,South,11.5,15.5,2.0,20.5,6.5,12.0,12.0,12.5,5.5,22.5,5.0,13.5,5.0,17.5
69,Youngport Vikings,5,1,1,10,North,12.0,20.0,4.0,6.5,4.0,7.0,8.5,18.0,13.5,21.0,2.5,3.0,11.5,22.5
70,West Marytown Hornets,5,1,1,34,Central,3.0,20.5,6.5,7.5,12.5,21.0,22.0,23.5,4.5,10.5,1.0,13.5,7.0,8.0
71,West Jacqueline Americans,5,1,1,80,West,12.0,19.5,9.0,12.5,4.0,9.5,2.0,22.0,14.5,15.0,2.5,17.0,8.0,15.0
72,South Stephanie Commandos,5,1,1,72,Central,16.5,18.0,17.0,21.5,0.0,9.5,16.0,19.0,5.5,14.5,6.0,23.0,3.0,9.0
73,Zamorastad Dolphins,5,1,1,68,South,1.0,18.5,18.0,22.0,1.5,18.0,6.0,12.0,3.0,9.5,3.5,5.5,11.5,18.0
74,Kristinland Robbers,5,1,1,66,West,6.5,14.5,6.5,7.0,1.5,8.5,15.5,22.0,9.5,20.0,3.0,12.5,20.0,22.5
75,West Michael Jacks,5,1,1,11,North,4.0,7.0,20.0,23.5,7.0,11.0,9.0,11.5,9.5,16.5,19.5,21.0,13.5,13.5
76,Port Angela Wildcats,5,1,1,29,West,2.5,17.0,0.0,22.0,19.5,21.5,5.0,6.0,7.0,11.5,9.0,14.5,0.0,21.0
77,Bowenburgh Hornets,5,1,1,38,Central,0.5,8.5,14.0,18.0,7.0,19.5,0.5,19.0,15.5,23.5,4.0,18.5,12.0,20.5
78,Brittanyfort Rappers,5,1,1,14,East,3.0,8.5,4.5,15.5,5.5,18.5,16.5,21.5,9.5,23.5,15.5,21.0,6.5,21.5
79,West Toddberg Wolves,5,1,1,41,South,16.0,22.5,21.5,22.0,12.5,20.5,6.5,9.5,2.0,19.0,14.5,18.0,1.5,6.0
80,New Christopherside Vikings,5,1,1,13,West,1.5,22.5,12.0,14.5,15.5,17.0,4.0,7.5,15.5,16.0,5.5,14.5,4.5,15.0
81,Kennethborough Vikings,5,1,1,16,East,17.0,18.0,16.0,18.0,4.5,22.5,3.5,10.0,7.5,17.5,1.0,11.5,4.5,13.0
82,East Kimberlyland Wildcats,5,1,1,67,West,20.5,23.5,8.5,11.5,2.5,13.5,8.5,19.0,4.0,21.0,17.0,23.5,1.5,22.5
83,Annafort Mavericks,5,1,1,23,Central,10.0,15.5,0.0,6.5,5.5,13.5,10.0,20.5,4.5,18.0,13.5,14.5,2.0,2.5
84,Lake Christine Mavericks,5,1,1,12,East,11.0,12.5,5.5,23.5,3.5,7.0,4.5,11.0,4.5,20.0,11.5,20.5,18.5,20.0
85,East Michaelborough Chargers,5,1,1,16,East,2.5,22.0,12.0,23.0,6.0,11.5,9.5,17.5,12.0,23.5,6.5,19.0,2.5,12.5
86,Port Olivia Wildcats,5,1,1,22,North,6.5,23.5,8.5,19.5,1.5,11.5,15.5,20.5,3.0,4.5,12.5,15.0,5.0,16.0
87,North Kristy Hawks,5,1,1,52,Central,4.0,18.0,6.5,7.5,10.0,17.0,7.5,17.5,14.5,20.5,0.0,4.0,7.5,12.5
88,South Catherineton Rappers,5,1,1,36,West,6.0,22.5,16.5,22.0,13.0,17.0,17.0,17.5,6.0,12.0,5.0,22.5,2.5,13.5
89,North Richard Vikings,5,1,1,50,South,14.5,15.5,3.0,14.0,19.0,19.5,8.5,23.5,5.0,9.0,5.0,6.0,0.0,23.0
90,South Susan Rappers,5,1,1,22,Central,9.0,21.5,17.5,22.0,12.5,14.5,17.0,21.5,1.0,1.5,13.5,22.0,15.5,20.0
91,Michaelstad Vikings,5,1,1,67,South,8.5,9.0,9.5,16.0,14.0,20.0,1.0,11.5,0.5,15.5,12.5,19.5,3.5,5.5
92,Lake Richard Sabres,5,1,1,17,South,2.5,19.0,4.0,14.5,5.0,18.0,9.5,23.5,4.5,7.0,8.0,19.5,2.0,9.0
93,Port Debra Hawks,5,1,1,15,West,16.5,21.5,22.0,23.0,13.5,19.0,4.0,14.5,6.0,16.5,10.5,15.0,16.0,18.5
94,Lake Kristen Dolphins,5,1,1,54,North,14.0,18.0,6.0,11.5,0.5,19.0,14.0,15.5,7.0,12.5,4.5,5.5,1.0,23.0
95,Leslieside Americans,5,1,1,18,South,15.0,18.0,8.5,15.5,4.0,7.5,10.5,16.5,3.0,7.5,3.5,5.5,10.5,23.0
96,Garciamouth Wildcats,5,1,1,53,East,15.0,18.0,7.5,8.0,1.5,6.5,15.5,17.0,4.5,19.5,6.5,10.5,17.5,18.5
97,East Miguelton Pirates,5,1,1,45,North,10.0,16.0,11.0,17.5,5.0,12.0,6.0,21.0,11.5,15.0,18.0,22.5,0.0,5.5
98,West Janice Rappers,5,1,1,77,North,3.0,5.0,1.5,11.0,17.5,20.0,8.5,15.0,2.0,13.0,0.0,10.0,6.0,7.5
99,New Jessica Pirates,5,1,1,54,Central,8.5,13.0,17.5,21.5,16.5,20.5,19.5,22.0,9.0,9.5,7.5,16.5,17.0,19.0
100,Loganton Hawks,5,1,1,12,Central,5.0,22.0,8.0,8.5,0.5,21.0,3.5,6.5,10.0,16.5,0.0,4.0,11.0,19.0
101,East Melissaton Pirates,10,2,3,10,North,2.5,12.0,3.0,21.0,12.0,18.5,8.0,10.0,9.5,10.5,16.5,23.0,8.5,9.0
102,Matthewside Rappers,10,2,3,10,East,6.0,9.0,8.0,15.5,15.5,23.0,0.0,5.0,20.5,22.5,2.5,6.0,18.0,22.0
103,Cynthiafort Bulls,10,2,3,10,West,1.5,6.5,10.5,14.0,2.0,12.0,3.5,5.0,3.5,8.5,6.0,12.0,7.5,9.5
104,Hollystad Bulls,10,2,3,10,South,9.0,10.5,0.5,13.5,1.5,7.5,16.5,18.5,11.0,18.0,4.5,15.0,0.5,6.5
105,Millerport Dolphins,10,2,3,10,North,17.5,19.5,10.5,23.0,9.0,12.0,20.0,23.0,4.0,4.0,17.0,20.0,7.0,22.0
106,Leonardland Commandos,10,2,3,10,North,0.0,6.5,3.5,5.0,6.5,10.0,0.5,18.5,7.5,15.0,13.0,16.0,1.0,8.5
107,Robertsburgh Americans,10,2,3,10,South,16.5,23.5,0.5,9.0,14.5,23.0,4.0,12.5,17.0,21.0,17.5,23.0,2.0,8.5
108,Michaelbury Jacks,10,2,3,10,Central,6.0,21.5,9.5,16.5,14.5,16.5,11.5,22.0,16.5,21.0,15.5,22.0,2.5,8.0
109,Christianburgh Bulls,10,2,3,10,Central,6.5,19.5,6.0,16.0,11.0,23.5,4.0,6.5,13.0,22.0,19.5,20.5,3.0,17.0
110,New Johnfort Chargers,10,2,3,10,West,0.0,12.5,6.0,16.5,9.0,19.5,7.5,8.5,18.0,22.0,6.0,7.5,6.0,21.5
111,South Stephanie Hawks,10,2,3,10,East,3.5,7.0,9.0,17.0,4.0,10.0,1.0,2.0,0.0,5.0,3.5,18.5,3.0,12.5
112,Gonzalezville Wildcats,10,2,3,10,South,0.5,18.5,0.0,15.5,19.5,22.0,4.5,18.0,6.0,11.0,10.5,21.0,9.0,12.0
113,New Sarahmouth Dolphins,10,2,3,10,South,0.0,8.0,0.0,9.5,9.0,14.0,7.5,21.5,8.0,13.5,1.5,20.0,0.0,0.0
114,North Sharimouth Wildcats,10,2,3,10,North,1.5,13.0,15.0,19.5,9.5,13.0,1.0,10.0,4.0,13.0,1.5,21.0,8.0,16.0
115,North Andrewmouth Dolphins,10,2,3,10,Central,12.5,18.0,1.5,1.5,13.5,18.5,11.5,17.0,4.5,19.5,6.5,17.5,5.0,6.0
116,Cindyfort Pirates,10,2,3,10,East,7.5,10.0,0.0,4.5,4.0,23.5,1.5,4.5,19.5,23.5,1.0,14.0,21.5,22.5
117,Jeffreyburgh Wildcats,9,2,2,10,North,9.5,13.5,6.0,10.5,22.0,22.0,0.5,17.0,1.0,17.5,11.0,20.5,2.5,12.0
118,New Joanna Mavericks,9,2,2,10,West,13.5,17.0,11.5,16.0,2.0,11.5,3.0,5.5,6.0,14.5,6.5,16.0,13.0,21.0
119,Lake Lisamouth Dolphins,9,2,2,10,East,14.0,20.0,7.5,16.0,2.5,4.0,12.0,13.0,15.5,19.5,6.5,8.0,0.0,16.0
120,New Stevenland Grizzlies,9,2,2,10,Central,0.0,19.0,1.0,9.5,14.5,14.5,12.0,19.0,9.5,20.5,12.5,20.0,18.0,20.5
121,Bellstad Bulls,9,2,2,10,Central,12.0,21.5,6.5,11.0,3.0,18.0,7.5,10.0,0.5,17.0,12.0,21.0,7.0,8.5
122,Troychester Bulls,9,2,2,10,East,4.5,10.0,21.0,21.5,17.0,19.5,13.5,23.0,20.5,22.5,11.0,15.5,6.0,23.0
123,Port Matthewburgh Chargers,9,2,2,10,East,2.5,19.5,0.0,6.5,11.5,21.0,5.5,19.0,11.5,20.0,1.5,5.5,7.5,10.0
124,Carlsonland Bulls,9,2,2,10,South,0.5,10.5,0.0,4.5,0.0,4.0,5.0,9.0,6.5,9.0,3.5,11.0,13.5,14.5
125,New Adam Grizzlies,9,2,2,10,East,2.5,14.5,17.0,18.0,15.0,16.0,4.5,20.5,21.0,23.0,2.0,14.5,5.5,5.5
126,Nguyenland Hornets,9,2,2,10,West,0.0,4.0,0.0,0.5,8.5,15.0,0.0,10.0,17.5,21.0,6.0,23.0,14.0,17.0
127,East Javier Vikings,9,2,2,10,South,3.5,6.5,3.0,12.5,10.0,21.0,0.0,14.0,1.5,17.0,8.0,20.5,9.5,19.0
128,Raymondport Robbers,9,2,2,10,South,8.5,13.5,22.5,23.5,1.5,4.5,3.0,8.0,11.0,11.0,16.0,21.5,2.5,5.5
129,Lozanoport Vikings,9,2,2,10,North,6.5,8.0,14.5,16.0,12.0,19.0,9.0,21.0,10.0,18.0,1.0,23.5,22.0,23.0
